EntrezID	GeneSymbol	Zuber_Essential_new	GeneAliases	Chromosom
14	AAMP	essential_core	-	2q35
16	AARS	essential_core	CMT2N|EIEE29	16q22.1
22	ABCB7	essential_core	ABC7|ASAT|Atm1p|EST140535	Xq13.3
23	ABCF1	essential_core	ABC27|ABC50	6p21.33
50	ACO2	essential_core	ACONM|HEL-S-284|ICRD|OCA8|OPA9	22q13.2
86	ACTL6A	essential_core	ACTL6|ARPN-BETA|Arp4|BAF53A|INO80K	3q26.33
191	AHCY	essential_core	SAHH|adoHcyase	20q11.22
226	ALDOA	essential_core	ALDA|GSD12|HEL-S-87p	16p11.2
332	BIRC5	essential_core	API4|EPR-1	17q25.3
372	ARCN1	essential_core	COPD|SRMMD	11q23.3
402	ARL2	essential_core	ARFL2	11q13.1
488	ATP2A2	essential_core	ATP2B|DAR|DD|SERCA2	12q24.11
498	ATP5A1	essential_core	ATP5A|ATP5AL2|ATPM|COXPD22|HEL-S-123m|MC5DN4|MOM2|OMR|ORM|hATP1	18q21.1
506	ATP5B	essential_core	ATPMB|ATPSB|HEL-S-271	12q13.3
515	ATP5F1	essential_core	PIG47	1p13.2
523	ATP6V1A	essential_core	ATP6A1|ATP6V1A1|HO68|VA68|VPP2|Vma1	3q13.31
527	ATP6V0C	essential_core	ATP6C|ATP6L|ATPL|VATL|VPPC|Vma3	16p13.3
533	ATP6V0B	essential_core	ATP6F|HATPL|VMA16	1p34.1
537	ATP6AP1	essential_core	16A|ATP6IP1|ATP6S1|Ac45|CF2|VATPS1|XAP-3|XAP3	Xq28
705	BYSL	essential_core	BYSTIN	6p21.1
832	CAPZB	essential_core	CAPB|CAPPB|CAPZ	1p36.13
833	CARS	essential_core	CARS1|CYSRS|MGC:11246	11p15.4
890	CCNA2	essential_core	CCN1|CCNA	4q27
908	CCT6A	essential_core	CCT-zeta|CCT-zeta-1|CCT6|Cctz|HTR3|MoDP-2|TCP-1-zeta|TCP20|TCPZ|TTCP20	7p11.2
983	CDK1	essential_core	CDC2|CDC28A|P34CDC2	10q21.2
988	CDC5L	essential_core	CDC5|CDC5-LIKE|CEF1|PCDC5RP|dJ319D22.1	6p21.1
991	CDC20	essential_core	CDC20A|bA276H19.3|p55CDC	1p34.2
996	CDC27	essential_core	ANAPC3|APC3|CDC27Hs|D0S1430E|D17S978E|H-NUC|HNUC|NUC2	17q21.32
1025	CDK9	essential_core	C-2k|CDC2L4|CTK1|PITALRE|TAK	9q34.11
1104	RCC1	essential_core	CHC1|RCC1-I|SNHG3-RCC1	1p35.3
1111	CHEK1	essential_core	CHK1	11q24.2
1175	AP2S1	essential_core	AP17|CLAPS2|FBH3|FBHOk|HHC3	19q13.32
1314	COPA	essential_core	AILJK|HEP-COP	1q23.2
1315	COPB1	essential_core	COPB	11p15.2
1434	CSE1L	essential_core	CAS|CSE1|XPO2	20q13.13
1452	CSNK1A1	essential_core	CK1|CK1a|CKIa|HEL-S-77p|HLCDGP1|PRO2975	5q32
1460	CSNK2B	essential_core	CK2B|CK2N|CSK2B|G5A	6p21.33
1477	CSTF1	essential_core	CstF-50|CstFp50	20q13.2-q13.31
1479	CSTF3	essential_core	CSTF-77	11p13
1603	DAD1	essential_core	OST2	14q11.2
1615	DARS	essential_core	HBSL|aspRS	2q21.3
1642	DDB1	essential_core	DDBA|UV-DDB1|XAP1|XPCE|XPE|XPE-BF	11q12.2
1650	DDOST	essential_core	AGER1|CDG1R|OKSWcl45|OST|OST48|WBP1	1p36.12
1656	DDX6	essential_core	HLR2|P54|RCK	11q23.3
1659	DHX8	essential_core	DDX8|HRH1|PRP22|PRPF22	17q21.31
1660	DHX9	essential_core	DDX9|LKP|NDH2|NDHII|RHA	1q25.3
1662	DDX10	essential_core	HRH-J8	11q22.3
1665	DHX15	essential_core	DBP1|DDX15|HRH2|PRP43|PRPF43|PrPp43p	4p15.2
1736	DKC1	essential_core	CBF5|DKC|DKCX|NAP57|NOLA4|XAP101	Xq28
1778	DYNC1H1	essential_core	CMT2O|DHC1|DHC1a|DNCH1|DNCL|DNECL|DYHC|Dnchc1|HL-3|SMALED1|p22	14q32.31
